Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Winter,Season,Winter_Avg,Summer_Avg,Monsoon_Avg,Post_Monsoon_Avg,Annual_Avg,Is_Extreme,Decade,Anomaly
1901,17.4522,19.3071,24.1723,28.1556,30.3041,30.4736,28.1482,26.8874,26.8976,25.9666,21.7871,18.4904,18.3797,27.544,18.4166,27.544,28.1017,23.8768,24.8369,False,1900,0.2737
1902,18.6933,20.4414,25.4255,28.219,30.5624,29.9625,27.8494,27.5445,26.4375,24.857,21.098,18.034,19.5674,28.069,19.0562,28.069,27.9485,22.9775,24.927,False,1900,0.3638
1903,17.9156,19.4795,23.3988,27.7007,29.8527,30.2014,28.3421,26.8319,26.7067,25.0338,20.7062,17.6026,18.6975,26.984,18.3326,26.9841,28.0205,22.87,24.481,False,1900,-0.0822
1904,17.5911,19.626,23.7609,28.4068,29.7381,29.132,27.1008,26.8433,26.5367,25.0456,20.9079,18.2641,18.6542,27.302,18.4937,27.3019,27.4032,22.9768,24.4128,False,1900,-0.1504
1905,16.8916,16.7712,22.3645,26.106,30.3881,30.5667,27.8732,27.3619,26.8357,25.6984,22.0787,18.0923,16.8314,26.2862,17.2517,26.2862,28.1594,23.8886,24.2524,False,1900,-0.3108
1906,17.2543,19.0116,22.803,28.1893,31.2179,29.3157,27.6981,26.8974,26.4691,25.1671,21.9436,18.8753,18.1421,27.4034,18.3804,27.4034,27.5951,23.5554,24.5702,False,1900,0.007
1907,18.7679,19.3758,22.6991,26.6565,29.3138,29.3196,28.2103,26.4577,26.8002,25.6019,22.0875,17.7336,19.0719,26.0707,18.6258,26.2231,27.697,23.8447,24.4187,False,1900,-0.1445
1908,17.5648,19.8256,23.64,28.8839,30.1582,30.1638,27.1648,26.4507,26.4139,24.9371,20.8421,17.3784,18.6952,27.5607,18.2563,27.5607,27.5483,22.8896,24.4519,False,1900,-0.1113
1909,17.8704,19.5678,24.6176,26.7513,29.9012,28.6669,26.8164,26.5611,26.386,25.0052,21.9905,18.3561,18.7191,27.09,18.5981,27.09,27.1076,23.4978,24.3742,False,1900,-0.189
1910,17.6798,19.915,24.078,27.8245,30.2019,28.8063,27.1371,26.679,26.4477,24.5262,20.4193,17.6271,18.7974,27.3681,18.4073,27.3681,27.2675,22.4727,24.2785,False,1910,-0.2847
1911,18.6432,19.4183,22.8,27.6187,30.6988,28.9883,28.2727,27.044,26.5903,25.3325,21.2697,18.1949,19.0308,27.0392,18.7521,27.0392,27.7238,23.3011,24.5726,False,1910,0.0094
1912,18.328,20.9303,23.8046,27.589,30.3996,30.5203,27.6388,26.7365,26.3416,25.0109,20.7911,17.7583,19.6292,27.2644,19.0055,27.2644,27.8093,22.901,24.6541,False,1910,0.0909
1913,17.6623,19.9946,22.7306,28.4666,29.4502,28.5217,27.3224,26.9078,26.8082,25.2253,20.9659,18.063,18.8285,26.8825,18.5733,26.8825,27.39,23.0956,24.3432,False,1910,-0.22
1914,18.5194,19.973,23.4347,26.9937,30.0919,29.486,27.3685,26.6946,26.6229,24.5231,21.8419,18.1898,19.2462,26.8401,18.8941,26.8401,27.543,23.1825,24.4783,False,1910,-0.0849
1915,17.8688,19.1993,23.539,27.7024,30.8752,30.1737,28.3156,27.4196,27.2602,26.0155,22.3327,18.0642,18.5341,27.3722,18.3774,27.3722,28.2923,24.1741,24.8972,False,1910,0.334
1916,18.0529,19.5879,25.2604,28.3684,30.2869,28.4498,27.5364,26.7568,26.492,24.9248,20.89,17.4354,18.8204,27.9719,18.3587,27.9719,27.3088,22.9074,24.5035,False,1910,-0.0597
1917,17.7945,19.7026,23.1893,26.4757,27.5312,28.3305,27.2398,26.7502,25.9456,24.2989,20.4403,17.8821,18.7485,25.7321,18.4597,25.7321,27.0665,22.3696,23.7984,False,1910,-0.7648
1918,16.7965,19.8437,23.697,26.7093,30.0357,28.4043,28.3801,27.1282,26.7691,25.3762,21.8393,17.8696,18.3201,26.814,18.1699,26.814,27.6704,23.6078,24.4041,False,1910,-0.1591
1919,18.4557,19.5137,24.2541,27.5069,29.8724,29.4322,27.4664,26.9187,26.3679,24.8472,21.6162,17.9515,18.9847,27.2112,18.6403,27.2111,27.5463,23.2317,24.5169,False,1910,-0.0463
1920,18.0942,19.524,23.9962,27.3973,28.736,29.3006,27.4885,26.8264,27.106,25.8245,22.0616,18.5147,18.8091,26.7098,18.711,26.7098,27.6804,23.943,24.5725,False,1920,0.0093
1921,18.3777,20.4576,25.4406,28.8368,31.9202,29.542,27.9863,26.6619,26.1865,24.3468,20.7723,18.7874,19.1219,28.5348,19.2076,28.7325,27.5942,22.5596,24.943,False,1920,0.3798
1922,17.7533,20.586,24.7226,28.5094,30.8974,29.1028,27.4371,26.8481,26.3284,24.5217,21.1952,17.6644,19.1463,27.8429,18.6679,28.0431,27.4291,22.8584,24.6305,False,1920,0.0673
1923,17.8695,19.3084,24.0846,28.2247,30.0907,30.9028,27.4433,26.6879,26.4892,24.5167,21.2725,18.6471,18.5889,27.4667,18.6083,27.4667,27.8808,22.8946,24.6281,False,1920,0.0649
1924,17.8619,20.2333,25.3586,28.7474,29.551,30.5674,27.856,27.0765,26.0672,24.8861,20.8549,18.3651,19.0476,27.8857,18.8201,27.8857,27.8918,22.8705,24.7854,False,1920,0.2222
1925,16.8085,18.8989,24.3732,28.8108,29.4945,28.6411,26.954,26.9972,26.9875,25.4092,21.3817,18.0312,17.8537,27.5595,17.9129,27.5595,27.395,23.3954,24.399,False,1920,-0.1642
1926,18.2985,21.0072,23.5324,26.2652,29.3258,31.0748,28.0639,26.9856,26.3562,24.9593,20.342,18.1555,19.6528,26.3745,19.1537,26.3745,28.1201,22.6506,24.5305,False,1920,-0.0327
1927,17.7329,19.3385,23.3214,27.7688,29.7503,29.6287,27.3887,26.6784,26.6683,25.1929,20.7638,18.7871,18.5357,26.9468,18.6195,26.9468,27.591,22.9784,24.4183,False,1920,-0.1449
1928,18.0446,20.2123,24.2591,27.96,30.7884,29.3549,27.4622,27.1866,26.8172,25.437,21.718,18.1962,19.1285,27.6691,18.8177,27.6692,27.7052,23.5775,24.7864,False,1920,0.2232
1929,17.782,19.1017,25.0315,27.9626,30.7783,29.3992,27.4788,26.6668,26.9732,24.7565,21.6345,17.8189,18.4418,27.9241,18.2342,27.9241,27.6295,23.1955,24.6153,False,1920,0.0521
1930,17.4587,19.1224,24.3007,27.4186,30.0004,29.2324,27.2512,26.8314,26.8645,25.3094,20.9996,18.4838,18.2905,27.2399,18.355,27.2399,27.5449,23.1545,24.4394,False,1930,-0.1238
1931,18.9016,19.6856,23.9406,28.9244,30.4225,30.5196,27.5854,27.3843,26.5985,25.101,21.37,18.5733,19.2936,27.7625,19.0535,27.7625,28.022,23.2355,24.9172,False,1930,0.354
1932,18.6261,19.2153,24.2026,27.9235,29.932,30.0907,27.6373,26.8759,26.9269,25.4857,21.5818,18.3798,18.9207,27.3527,18.7404,27.3527,27.8827,23.5338,24.7398,False,1930,0.1766
1933,17.2991,20.4608,24.1262,26.8945,28.6881,28.8693,27.5462,26.4922,26.2825,24.8639,21.4356,18.4627,18.88,26.5696,18.7409,26.5696,27.2976,23.1498,24.2851,False,1930,-0.2781
1934,17.024,20.4242,23.677,28.1213,30.1796,29.3889,27.4846,26.7489,26.8125,24.6953,20.8053,18.4593,18.7241,27.326,18.6358,27.326,27.6087,22.7503,24.4851,False,1930,-0.0781
1935,16.9154,20.1905,24.0707,26.3946,30.8601,30.1627,27.3506,26.54,26.2151,24.9368,21.4298,18.5377,18.4883,27.0612,18.5479,27.1085,27.5671,23.1833,24.467,False,1930,-0.0962
1936,17.6167,19.8445,23.8477,27.71,30.7442,28.2825,27.3529,26.9303,26.7208,25.1105,21.8082,18.4343,18.7306,27.434,18.6318,27.434,27.3216,23.4594,24.5336,False,1930,-0.0296
1937,17.1879,20.2391,23.3092,27.0284,30.1437,30.057,27.2851,27.1257,26.7532,24.5117,21.356,17.5096,18.7135,26.8271,18.3122,26.8271,27.8052,22.9338,24.3755,False,1930,-0.1877
1938,18.2365,18.9473,25.1008,28.6158,30.5535,27.9949,27.2672,26.9941,26.8538,25.1392,20.5098,18.2544,18.5919,28.09,18.4794,28.09,27.2775,22.8245,24.5389,False,1930,-0.0243
1939,18.4403,20.2842,22.8492,27.4544,30.7253,29.3854,27.4285,27.274,26.6942,25.4203,21.2164,18.4224,19.3622,27.0096,19.049,27.0096,27.6955,23.3184,24.6329,False,1930,0.0697
1940,17.6631,19.9311,22.6795,27.4565,30.2367,29.6733,27.5788,26.736,26.6413,25.3282,22.0795,18.4179,18.7971,26.7909,18.6707,26.7909,27.6574,23.7038,24.5352,False,1940,-0.028
1941,17.9168,20.4535,25.3889,29.3468,30.8174,29.5695,28.0078,27.5247,27.0131,26.0974,21.6306,19.3663,19.2133,28.5267,19.2455,28.5177,28.0288,23.864,25.2611,True,1940,0.6979
1942,17.6542,20.363,24.8086,28.5491,30.8915,30.4782,27.3458,26.6118,26.2634,25.074,21.7418,18.0608,19.0086,28.0831,18.6927,28.0831,27.6748,23.4079,24.8202,False,1940,0.257
1943,18.2945,19.3438,24.2002,26.9072,30.0588,29.1464,27.3252,26.5526,26.523,24.8149,21.8798,18.4901,18.8191,27.0554,18.7095,27.0554,27.3868,23.3474,24.4614,False,1940,-0.1018
1944,17.5895,19.2601,23.1244,26.9007,30.9382,29.7623,27.3694,26.9578,26.5502,24.7663,21.4418,19.0453,18.4248,26.9878,18.6316,26.9878,27.6599,23.104,24.4755,False,1940,-0.0877
1945,16.7866,19.2424,24.3599,27.0078,30.1613,30.1545,27.4551,27.0613,26.5755,24.5981,20.8643,17.1522,18.0145,27.1764,17.7271,27.1763,27.8116,22.7312,24.2849,False,1940,-0.2783
1946,17.8912,21.035,24.005,28.269,30.1128,29.1614,27.4388,26.9166,26.6867,25.4665,21.6343,18.9136,19.4631,27.4623,19.2799,27.4623,27.5509,23.5504,24.7942,False,1940,0.231
1947,17.5848,20.053,24.5044,28.4715,30.8366,30.4637,27.7186,27.405,26.3985,24.476,21.7674,18.6728,18.8189,27.9375,18.7702,27.9375,27.9964,23.1217,24.8627,False,1940,0.2995
1948,18.1608,19.8477,23.7411,28.5427,30.8945,30.0512,27.5922,26.8286,26.6102,25.4209,21.7171,18.0074,18.9907,27.7261,18.672,27.7261,27.7706,23.569,24.7845,False,1940,0.2213
1949,18.6976,19.7557,24.5056,28.2497,30.249,29.3798,27.4506,27.0159,26.8738,25.3747,20.5404,17.8455,19.2266,27.6681,18.7663,27.6681,27.68,22.9576,24.6615,False,1940,0.0983
1950,18.2654,19.0335,23.2831,27.5163,30.4235,29.5804,27.2571,26.8159,26.3652,24.7244,20.7656,17.8203,18.6494,27.0743,18.3731,27.0743,27.5046,22.745,24.3209,False,1950,-0.2423
1951,17.4949,19.7901,24.103,26.6553,30.0188,29.4363,28.0274,27.213,27.3528,26.7086,22.4282,18.6291,18.6023,26.9257,18.638,26.9257,28.0074,24.5684,24.8215,False,1950,0.2583
1952,18.5552,21.2164,23.6072,28.6899,30.5609,29.7973,27.6898,26.8022,26.9567,25.4298,21.3023,18.9102,19.8858,27.6194,19.5606,27.6193,27.8115,23.366,24.9598,False,1950,0.3966
1953,17.7122,21.3153,26.1266,28.3119,30.9219,30.2307,27.5428,26.9027,26.6976,25.1009,21.2784,19.3951,19.5137,28.4211,19.4742,28.4535,27.8434,23.1896,25.128,False,1950,0.5648
1954,17.2836,21.0357,24.4282,28.6873,31.0717,29.6791,27.4518,27.165,26.5642,23.9449,20.85,18.3974,19.1596,28.0624,18.9056,28.0624,27.715,22.3974,24.7132,False,1950,0.15
1955,17.9762,20.6103,25.1839,26.9679,29.5686,29.5105,27.5525,26.6199,26.5803,24.6735,20.7701,18.0196,19.2932,27.2401,18.8687,27.2401,27.5658,22.7218,24.5028,False,1950,-0.0604
1956,17.8731,19.7324,24.5647,28.4423,30.5546,28.5284,26.6378,26.4585,26.6068,24.487,20.9533,18.4451,18.8028,27.8539,18.6835,27.8539,27.0579,22.7201,24.4403,False,1950,-0.1229
1957,17.926,19.0841,23.0058,27.3319,29.7597,29.7185,27.681,27.0994,26.7507,25.2502,22.043,19.1858,18.5051,26.6991,18.732,26.6991,27.8124,23.6466,24.5697,False,1950,0.0065
1958,19.2079,20.4694,24.9107,28.9254,30.4157,31.0005,27.6923,27.1052,26.6786,25.2725,22.0255,19.1995,19.8387,28.084,19.6256,28.0839,28.1192,23.649,25.2419,True,1950,0.6787
1959,18.1406,19.7121,24.7243,28.4016,30.418,29.6949,27.2417,26.9327,26.6499,25.4022,21.4659,18.8298,18.9264,27.848,18.8942,27.848,27.6298,23.434,24.8011,False,1950,0.2379
