Year    Jan     Feb     Mar     Apr     May     Jun       Jul     Aug     Sep     Oct     Nov     Dec       Winter Season
Jan-Feb Pre-Monsoon Season
Mar-May Monsoon Season
Jun-Sep Post-Monsoon Season
Oct-Dec Annual
1901    17.4522 19.3071 24.1723 28.1556 30.3041 30.4736   28.1482 26.8874 26.8976 25.9666 21.7871 18.4904   18.3797 27.5440 28.0708 22.0814 24.8142
1902    18.6933 20.4414 25.4255 28.2190 30.5624 29.9625   27.8494 27.5445 26.4375 24.8570 21.0980 18.0340   19.5674 28.0690 27.9485 21.3415 24.9224
1903    17.9156 19.4795 23.3988 27.7007 29.8527 30.2014   28.3421 26.8319 26.7067 25.0338 20.7062 17.6026   18.6975 26.9840 27.9724 21.1142 24.4404
1904    17.5911 19.6260 23.7609 28.4068 29.7381 29.1320   27.1008 26.8433 26.5367 25.0456 20.9079 18.2641   18.6542 27.3020 27.4032 21.4059 24.4207
1905    16.8916 16.7712 22.3645 26.1060 30.3881 30.5667   27.8732 27.3619 26.8357 25.6984 22.0787 18.0923   16.8314 26.2862 28.1181 21.7560 24.1755
1906    17.2543 19.0116 22.8030 28.1893 31.2179 29.3157   27.6981 26.8974 26.4691 25.1671 21.9436 18.8753   18.1421 27.4034 27.6024 21.9953 24.5760
1907    18.7679 19.3758 22.6991 26.6565 29.3138 29.3196   28.2103 26.4577 26.8002 25.6019 22.0875 17.7336   19.0719 26.0707 27.6969 21.8077 24.3838
1908    17.5648 19.8256 23.6400 28.8839 30.1582 30.1638   27.1648 26.4507 26.4139 24.9371 20.8421 17.3784   18.6952 27.5607 27.5483 21.0615 24.4543
1909    17.8704 19.5678 24.6176 26.7513 29.9012 28.6669   26.8164 26.5611 26.3860 25.0052 21.9905 18.3561   18.7191 27.0900 27.0841 21.7839 24.3383
1910    17.6798 19.9150 24.0780 27.8245 30.2019 28.8063   27.1371 26.6790 26.4477 24.5262 20.4193 17.6271   18.7974 27.3681 27.2675 20.8575 24.2785
1911    18.6432 19.4183 22.8000 27.6187 30.6988 28.9883   28.2727 27.0440 26.5903 25.3325 21.2697 18.1949   19.0308 27.0392 27.7238 21.5920 24.5717
1912    18.3280 20.9303 23.8046 27.5890 30.3996 30.5203   27.6388 26.7365 26.3416 25.0109 20.7911 17.7583   19.6292 27.2644 27.8093 21.1868 24.6541
1913    17.6623 19.9946 22.7306 28.4666 29.4502 28.5217   27.3224 26.9078 26.8082 25.2253 20.9659 18.0630   18.8285 26.8825 27.3900 21.4181 24.3432
1914    18.5194 19.9730 23.4347 26.9937 30.0919 29.4860   27.3685 26.6946 26.6229 24.5231 21.8419 18.1898   19.2462 26.8401 27.5430 21.5182 24.4783
1915    17.8688 19.1993 23.5390 27.7024 30.8752 30.1737   28.3156 27.4196 27.2602 26.0155 22.3327 18.0642   18.5341 27.3722 28.2856 22.1375 24.8950
1916    18.0529 19.5879 25.2604 28.3684 30.2869 28.4498   27.5364 26.7568 26.4920 24.9248 20.8900 17.4354   18.8204 27.9719 27.3087 21.0834 24.5035
1917    17.7945 19.7026 23.1893 26.4757 27.5312 28.3305   27.2398 26.7502 25.9456 24.2989 20.4403 17.8821   18.7485 25.7321 27.0665 20.8738 23.7984
1918    16.7965 19.8437 23.6970 26.7093 30.0357 28.4043   28.3801 27.1282 26.7691 25.3762 21.8393 17.8696   18.3201 26.8140 27.6704 21.6950 24.4041
1919    18.4557 19.5137 24.2541 27.5069 29.8724 29.4322   27.4664 26.9187 26.3679 24.8472 21.6162 17.9515   18.9847 27.2112 27.5463 21.4716 24.5169
1920    18.0942 19.5240 23.9962 27.3973 28.7360 29.3006   27.4885 26.8264 27.1060 25.8245 22.0616 18.5147   18.8091 26.7098 27.6804 22.1336 24.5725
1921    18.3777 20.4576 25.4406 28.8368 31.9202 29.5420   27.9863 26.6619 26.1865 24.3468 20.7723 18.7874   19.1219 28.5348 27.5942 21.3022 24.8807
1922    17.7533 20.5860 24.7226 28.5094 30.8974 29.1028   27.4371 26.8481 26.3284 24.5217 21.1952 17.6644   19.1463 27.8429 27.4291 21.1271 24.5908
1923    17.8695 19.3084 24.0846 28.2247 30.0907 30.9028   27.4433 26.6879 26.4892 24.5167 21.2725 18.6471   18.5889 27.4667 27.8808 21.4788 24.6281
1924    17.8619 20.2333 25.3586 28.7474 29.5510 30.5674   27.8560 27.0765 26.0672 24.8861 20.8549 18.3651   19.0476 27.8857 27.8918 21.3687 24.7855
1925    16.8085 18.8989 24.3732 28.8108 29.4945 28.6411   26.9540 26.9972 26.9875 25.4092 21.3817 18.0312   17.8537 27.5595 27.3949 21.6074 24.3990
1926    18.2985 21.0072 23.5324 26.2652 29.3258 31.0748   28.0639 26.9856 26.3562 24.9593 20.3420 18.1555   19.6528 26.3745 28.1201 21.1523 24.5305
1927    17.7329 19.3385 23.3214 27.7688 29.7503 29.6287   27.3887 26.6784 26.6683 25.1929 20.7638 18.7871   18.5357 26.9468 27.5910 21.5813 24.4183
1928    18.0446 20.2123 24.2591 27.9600 30.7884 29.3549   27.4622 27.1866 26.8172 25.4370 21.7180 18.1962   19.1285 27.6691 27.7052 21.7837 24.7864
1929    17.7820 19.1017 25.0315 27.9626 30.7783 29.3992   27.4788 26.6668 26.9732 24.7565 21.6345 17.8189   18.4418 27.9241 27.6295 21.4033 24.6153
1930    17.4587 19.1224 24.3007 27.4186 30.0004 29.2324   27.2512 26.8314 26.8645 25.3094 20.9996 18.4838   18.2905 27.2399 27.5449 21.5976 24.4394
1931    18.9016 19.6856 23.9406 28.9244 30.4225 30.5196   27.5854 27.3843 26.5985 25.1010 21.3700 18.5733   19.2936 27.7625 28.0219 21.6814 24.9172
1932    18.6261 19.2153 24.2026 27.9235 29.9320 30.0907   27.6373 26.8759 26.9269 25.4857 21.5818 18.3798   18.9207 27.3527 27.8832 21.8158 24.7404
1933    17.2991 20.4608 24.1262 26.8945 28.6881 28.8693   27.5462 26.4922 26.2825 24.8639 21.4356 18.4627   18.8800 26.5696 27.2976 21.5874 24.2851
1934    17.0240 20.4242 23.6770 28.1213 30.1796 29.3889   27.4846 26.7489 26.8125 24.6953 20.8053 18.4593   18.7241 27.3260 27.6087 21.3200 24.4851
1935    16.9154 20.1905 24.0707 26.3946 30.8601 30.1627   27.3506 26.5400 26.2151 24.9368 21.4298 18.5377   18.4883 27.0612 27.5671 21.6348 24.4027
1936    17.6167 19.8445 23.8477 27.7100 30.7442 28.2825   27.3529 26.9303 26.7208 25.1105 21.8082 18.4343   18.7306 27.4340 27.3216 21.7843 24.5335
1937    17.1879 20.2391 23.3092 27.0284 30.1437 30.0570   27.2851 27.1257 26.7532 24.5117 21.3560 17.5096   18.7135 26.8271 27.8053 21.1258 24.3756
1938    18.2365 18.9473 25.1008 28.6158 30.5535 27.9949   27.2672 26.9941 26.8538 25.1392 20.5098 18.2544   18.5919 28.0900 27.2775 21.3011 24.5389
1939    18.4403 20.2842 22.8492 27.4544 30.7253 29.3854   27.4285 27.2740 26.6942 25.4203 21.2164 18.4224   19.3622 27.0096 27.6955 21.6863 24.6329
1940    17.6631 19.9311 22.6795 27.4565 30.2367 29.6733   27.5788 26.7360 26.6413 25.3282 22.0795 18.4179   18.7971 26.7909 27.6555 21.9419 24.5463
1941    17.9168 20.4535 25.3889 29.3468 30.8174 29.5695   28.0078 27.5247 27.0131 26.0974 21.6306 19.3663   19.2133 28.5267 28.0288 22.3648 25.2684
